Cell.Line,Cell.ID,Lot.Number,Treatment,Time.Point,Replicate,Sub.experiment,Batch,Filename,WG.Plate,factor1,factor2,Iso.Order,Iso.Row,Iso.Col,RNAYield(ug),Label.Order,Label.Row,Label.Col
HDFn,A,#1366434,Control,3,3,1,3,GSS2375_WellData_p3.txt,7,Control.3.HDFn,Control.3.A,44,D,6,,40,H,5
HDFn,A,#1366434,TGFb,3,3,1,3,GSS2375_WellData_p3.txt,7,TGFb.3.HDFn,TGFb.3.A,45,E,6,,68,D,9
SEN,D,#1366434,TGFb,2,3,1,3,GSS2375_WellData_p3.txt,7,TGFb.2.SEN,TGFb.2.D,46,F,6,,23,G,3
Adult,G,#1528526,Control,24,3,1,3,GSS2375_WellData_p3.txt,7,Control.24.Adult,Control.24.G,47,G,6,,60,D,8
SEN,D,#1366434,Control,72,3,1,3,GSS2375_WellData_p3.txt,7,Control.72.SEN,Control.72.D,48,H,6,,8,H,1
SEN,D,#1366434,Baseline,96,3,1,3,GSS2375_WellData_p3.txt,7,Baseline.96.SEN,Baseline.96.D,49,A,7,,24,H,3
HDFn,A,#1366434,TGFb,96,3,1,3,GSS2375_WellData_p3.txt,7,TGFb.96.HDFn,TGFb.96.A,50,B,7,,57,A,8
Adult,G,#1528526,Baseline,96,3,1,3,GSS2375_WellData_p3.txt,7,Baseline.96.Adult,Baseline.96.G,51,C,7,,63,G,8
SEN,D,#1366434,Control,4,3,1,3,GSS2375_WellData_p3.txt,7,Control.4.SEN,Control.4.D,52,D,7,,5,E,1
SEN,D,#1366434,Control,3,3,1,3,GSS2375_WellData_p3.txt,7,Control.3.SEN,Control.3.D,53,E,7,,70,F,9
Adult,G,#1528526,Control,2,3,1,3,GSS2375_WellData_p3.txt,7,Control.2.Adult,Control.2.G,54,F,7,,22,F,3
SEN,D,#1366434,TGFb,72,3,1,3,GSS2375_WellData_p3.txt,7,TGFb.72.SEN,TGFb.72.D,55,G,7,,11,C,2
Adult,G,#1528526,TGFb,8,3,1,3,GSS2375_WellData_p3.txt,7,TGFb.8.Adult,TGFb.8.G,56,H,7,,33,A,5
SEN,D,#1366434,TGFb,96,3,1,3,GSS2375_WellData_p3.txt,7,TGFb.96.SEN,TGFb.96.D,57,A,8,,25,A,4
Adult,G,#1528526,TGFb,24,3,1,3,GSS2375_WellData_p3.txt,7,TGFb.24.Adult,TGFb.24.G,58,B,8,,9,A,2
HDFn,A,#1366434,TGFb,1,3,1,3,GSS2375_WellData_p3.txt,7,TGFb.1.HDFn,TGFb.1.A,59,C,8,,53,E,7
HDFn,A,#1366434,Control,96,3,1,3,GSS2375_WellData_p3.txt,7,Control.96.HDFn,Control.96.A,60,D,8,,31,G,4
Adult,G,#1528526,TGFb,12,3,1,3,GSS2375_WellData_p3.txt,7,TGFb.12.Adult,TGFb.12.G,61,E,8,,42,B,6
Adult,G,#1528526,TGFb,72,3,1,3,GSS2375_WellData_p3.txt,7,TGFb.72.Adult,TGFb.72.G,62,F,8,,15,G,2
Adult,G,#1528526,TGFb,2,3,1,3,GSS2375_WellData_p3.txt,7,TGFb.2.Adult,TGFb.2.G,63,G,8,,28,D,4
SEN,D,#1366434,TGFb,8,3,1,3,GSS2375_WellData_p3.txt,7,TGFb.8.SEN,TGFb.8.D,64,H,8,,12,D,2
Adult,G,#1528526,Control,4,3,1,3,GSS2375_WellData_p3.txt,7,Control.4.Adult,Control.4.G,65,A,9,,44,D,6
SEN,D,#1366434,TGFb,12,3,1,3,GSS2375_WellData_p3.txt,7,TGFb.12.SEN,TGFb.12.D,66,B,9,,29,E,4
HDFn,A,#1366434,TGFb,4,3,1,3,GSS2375_WellData_p3.txt,7,TGFb.4.HDFn,TGFb.4.A,67,C,9,,51,C,7
Adult,G,#1528526,TGFb,96,3,1,3,GSS2375_WellData_p3.txt,7,TGFb.96.Adult,TGFb.96.G,68,D,9,,7,G,1
HDFn,A,#1366434,Control,1,3,1,3,GSS2375_WellData_p3.txt,7,Control.1.HDFn,Control.1.A,69,E,9,,43,C,6
SEN,D,#1366434,Control,24,3,1,3,GSS2375_WellData_p3.txt,7,Control.24.SEN,Control.24.D,70,F,9,,18,B,3
SEN,D,#1366434,TGFb,24,3,1,3,GSS2375_WellData_p3.txt,7,TGFb.24.SEN,TGFb.24.D,71,G,9,,45,E,6
Adult,G,#1528526,TGFb,4,3,1,3,GSS2375_WellData_p3.txt,7,TGFb.4.Adult,TGFb.4.G,72,H,9,,50,B,7
HDFn,A,#1366434,Control,4,4,1,4,GSS2375_WellData_p4.txt,12,Control.4.HDFn,Control.4.A,1,A,1,,15,G,2
SEN,D,#1366434,Control,0.5,4,1,4,GSS2375_WellData_p4.txt,12,Control.0.5.SEN,Control.0.5.D,2,B,1,,46,F,6
SEN,D,#1366434,TGFb,1,4,1,4,GSS2375_WellData_p4.txt,12,TGFb.1.SEN,TGFb.1.D,3,C,1,,54,F,7
Adult,G,#1528526,Baseline,96,4,1,4,GSS2375_WellData_p4.txt,12,Baseline.96.Adult,Baseline.96.G,4,D,1,,24,H,3
HDFn,A,#1366434,TGFb,4,4,1,4,GSS2375_WellData_p4.txt,12,TGFb.4.HDFn,TGFb.4.A,5,E,1,,57,A,8
Adult,G,#1528526,Control,24,4,1,4,GSS2375_WellData_p4.txt,12,Control.24.Adult,Control.24.G,6,F,1,,34,B,5
Adult,G,#1528526,TGFb,72,4,1,4,GSS2375_WellData_p4.txt,12,TGFb.72.Adult,TGFb.72.G,7,G,1,,20,D,3
SEN,D,#1366434,TGFb,2,4,1,4,GSS2375_WellData_p4.txt,12,TGFb.2.SEN,TGFb.2.D,8,H,1,,53,E,7
SEN,D,#1366434,TGFb,4,4,1,4,GSS2375_WellData_p4.txt,12,TGFb.4.SEN,TGFb.4.D,9,A,2,,17,A,3
HDFn,A,#1366434,Control,12,4,1,4,GSS2375_WellData_p4.txt,12,Control.12.HDFn,Control.12.A,10,B,2,,36,D,5
HDFn,A,#1366434,Control,8,4,1,4,GSS2375_WellData_p4.txt,12,Control.8.HDFn,Control.8.A,11,C,2,,9,A,2
SEN,D,#1366434,TGFb,24,4,1,4,GSS2375_WellData_p4.txt,12,TGFb.24.SEN,TGFb.24.D,12,D,2,,63,G,8
SEN,D,#1366434,TGFb,12,4,1,4,GSS2375_WellData_p4.txt,12,TGFb.12.SEN,TGFb.12.D,13,E,2,,12,D,2
HDFn,A,#1366434,Control,24,4,1,4,GSS2375_WellData_p4.txt,12,Control.24.HDFn,Control.24.A,14,F,2,,47,G,6
HDFn,A,#1366434,Control,1,4,1,4,GSS2375_WellData_p4.txt,12,Control.1.HDFn,Control.1.A,15,G,2,,38,F,5
Adult,G,#1528526,Control,0.5,4,1,4,GSS2375_WellData_p4.txt,12,Control.0.5.Adult,Control.0.5.G,16,H,2,,71,G,9
Adult,G,#1528526,Control,48,4,1,4,GSS2375_WellData_p4.txt,12,Control.48.Adult,Control.48.G,17,A,3,,45,E,6
HDFn,A,#1366434,Control,3,4,1,4,GSS2375_WellData_p4.txt,12,Control.3.HDFn,Control.3.A,18,B,3,,25,A,4
HDFn,A,#1366434,Control,96,4,1,4,GSS2375_WellData_p4.txt,12,Control.96.HDFn,Control.96.A,19,C,3,,60,D,8
Adult,G,#1528526,TGFb,8,4,1,4,GSS2375_WellData_p4.txt,12,TGFb.8.Adult,TGFb.8.G,20,D,3,,44,D,6
Adult,G,#1528526,TGFb,2,4,1,4,GSS2375_WellData_p4.txt,12,TGFb.2.Adult,TGFb.2.G,21,E,3,,18,B,3
HDFn,A,#1366434,TGFb,8,4,1,4,GSS2375_WellData_p4.txt,12,TGFb.8.HDFn,TGFb.8.A,22,F,3,,66,B,9
Adult,G,#1528526,Control,1,4,1,4,GSS2375_WellData_p4.txt,12,Control.1.Adult,Control.1.G,23,G,3,,68,D,9
HDFn,A,#1366434,Baseline,96,4,1,4,GSS2375_WellData_p4.txt,12,Baseline.96.HDFn,Baseline.96.A,24,H,3,,3,C,1
HDFn,A,#1366434,Baseline,0,4,1,4,GSS2375_WellData_p4.txt,12,Baseline.0.HDFn,Baseline.0.A,25,A,4,,6,F,1
SEN,D,#1366434,Control,3,4,1,4,GSS2375_WellData_p4.txt,12,Control.3.SEN,Control.3.D,26,B,4,,33,A,5
Adult,G,#1528526,TGFb,12,4,1,4,GSS2375_WellData_p4.txt,12,TGFb.12.Adult,TGFb.12.G,27,C,4,,27,C,4
Adult,G,#1528526,Control,12,4,1,4,GSS2375_WellData_p4.txt,12,Control.12.Adult,Control.12.G,28,D,4,,65,A,9
SEN,D,#1366434,Control,4,4,1,4,GSS2375_WellData_p4.txt,12,Control.4.SEN,Control.4.D,29,E,4,,19,C,3
SEN,D,#1366434,Control,72,4,1,4,GSS2375_WellData_p4.txt,12,Control.72.SEN,Control.72.D,30,F,4,,55,G,7
HDFn,A,#1366434,TGFb,2,4,1,4,GSS2375_WellData_p4.txt,12,TGFb.2.HDFn,TGFb.2.A,31,G,4,,8,H,1
Adult,G,#1528526,Control,2,4,1,4,GSS2375_WellData_p4.txt,12,Control.2.Adult,Control.2.G,32,H,4,,43,C,6
SEN,D,#1366434,TGFb,72,4,1,4,GSS2375_WellData_p4.txt,12,TGFb.72.SEN,TGFb.72.D,33,A,5,,70,F,9
HDFn,A,#1366434,TGFb,72,4,1,4,GSS2375_WellData_p4.txt,12,TGFb.72.HDFn,TGFb.72.A,34,B,5,,51,C,7
Adult,G,#1528526,Control,4,4,1,4,GSS2375_WellData_p4.txt,12,Control.4.Adult,Control.4.G,35,C,5,,14,F,2
SEN,D,#1366434,Control,48,4,1,4,GSS2375_WellData_p4.txt,12,Control.48.SEN,Control.48.D,36,D,5,,41,A,6
HDFn,A,#1366434,Control,0.5,4,1,4,GSS2375_WellData_p4.txt,12,Control.0.5.HDFn,Control.0.5.A,37,E,5,,5,E,1
SEN,D,#1366434,TGFb,8,4,1,4,GSS2375_WellData_p4.txt,12,TGFb.8.SEN,TGFb.8.D,38,F,5,,40,H,5
HDFn,A,#1366434,TGFb,48,4,1,4,GSS2375_WellData_p4.txt,12,TGFb.48.HDFn,TGFb.48.A,39,G,5,,29,E,4
HDFn,A,#1366434,TGFb,96,4,1,4,GSS2375_WellData_p4.txt,12,TGFb.96.HDFn,TGFb.96.A,40,H,5,,10,B,2
Adult,G,#1528526,Control,3,4,1,4,GSS2375_WellData_p4.txt,12,Control.3.Adult,Control.3.G,41,A,6,,50,B,7
HDFn,A,#1366434,Control,72,4,1,4,GSS2375_WellData_p4.txt,12,Control.72.HDFn,Control.72.A,42,B,6,,56,H,7
SEN,D,#1366434,TGFb,96,4,1,4,GSS2375_WellData_p4.txt,12,TGFb.96.SEN,TGFb.96.D,43,C,6,,2,B,1
Adult,G,#1528526,TGFb,4,4,1,4,GSS2375_WellData_p4.txt,12,TGFb.4.Adult,TGFb.4.G,44,D,6,,7,G,1
Adult,G,#1528526,TGFb,24,4,1,4,GSS2375_WellData_p4.txt,12,TGFb.24.Adult,TGFb.24.G,45,E,6,,42,B,6
Adult,G,#1528526,Control,72,4,1,4,GSS2375_WellData_p4.txt,12,Control.72.Adult,Control.72.G,46,F,6,,4,D,1
Adult,G,#1528526,TGFb,48,4,1,4,GSS2375_WellData_p4.txt,12,TGFb.48.Adult,TGFb.48.G,47,G,6,,31,G,4
Adult,G,#1528526,TGFb,0.5,4,1,4,GSS2375_WellData_p4.txt,12,TGFb.0.5.Adult,TGFb.0.5.G,48,H,6,,21,E,3
SEN,D,#1366434,Control,96,4,1,4,GSS2375_WellData_p4.txt,12,Control.96.SEN,Control.96.D,49,A,7,,58,B,8
SEN,D,#1366434,Control,24,4,1,4,GSS2375_WellData_p4.txt,12,Control.24.SEN,Control.24.D,50,B,7,,64,H,8
Adult,G,#1528526,Baseline,0,4,1,4,GSS2375_WellData_p4.txt,12,Baseline.0.Adult,Baseline.0.G,51,C,7,,22,F,3
SEN,D,#1366434,Control,12,4,1,4,GSS2375_WellData_p4.txt,12,Control.12.SEN,Control.12.D,52,D,7,,48,H,6
SEN,D,#1366434,Control,2,4,1,4,GSS2375_WellData_p4.txt,12,Control.2.SEN,Control.2.D,53,E,7,,26,B,4
SEN,D,#1366434,TGFb,48,4,1,4,GSS2375_WellData_p4.txt,12,TGFb.48.SEN,TGFb.48.D,54,F,7,,30,F,4
HDFn,A,#1366434,TGFb,12,4,1,4,GSS2375_WellData_p4.txt,12,TGFb.12.HDFn,TGFb.12.A,55,G,7,,52,D,7
Adult,G,#1528526,TGFb,3,4,1,4,GSS2375_WellData_p4.txt,12,TGFb.3.Adult,TGFb.3.G,56,H,7,,35,C,5
Adult,G,#1528526,TGFb,96,4,1,4,GSS2375_WellData_p4.txt,12,TGFb.96.Adult,TGFb.96.G,57,A,8,,59,C,8
SEN,D,#1366434,Control,1,4,1,4,GSS2375_WellData_p4.txt,12,Control.1.SEN,Control.1.D,58,B,8,,28,D,4
Adult,G,#1528526,TGFb,1,4,1,4,GSS2375_WellData_p4.txt,12,TGFb.1.Adult,TGFb.1.G,59,C,8,,32,H,4
SEN,D,#1366434,Baseline,0,4,1,4,GSS2375_WellData_p4.txt,12,Baseline.0.SEN,Baseline.0.D,60,D,8,,72,H,9
SEN,D,#1366434,TGFb,0.5,4,1,4,GSS2375_WellData_p4.txt,12,TGFb.0.5.SEN,TGFb.0.5.D,61,E,8,,11,C,2
HDFn,A,#1366434,TGFb,0.5,4,1,4,GSS2375_WellData_p4.txt,12,TGFb.0.5.HDFn,TGFb.0.5.A,62,F,8,,61,E,8
Adult,G,#1528526,Control,96,4,1,4,GSS2375_WellData_p4.txt,12,Control.96.Adult,Control.96.G,63,G,8,,49,A,7
HDFn,A,#1366434,Control,48,4,1,4,GSS2375_WellData_p4.txt,12,Control.48.HDFn,Control.48.A,64,H,8,,37,E,5
HDFn,A,#1366434,Control,2,4,1,4,GSS2375_WellData_p4.txt,12,Control.2.HDFn,Control.2.A,65,A,9,,39,G,5
HDFn,A,#1366434,TGFb,3,4,1,4,GSS2375_WellData_p4.txt,12,TGFb.3.HDFn,TGFb.3.A,66,B,9,,16,H,2
SEN,D,#1366434,TGFb,3,4,1,4,GSS2375_WellData_p4.txt,12,TGFb.3.SEN,TGFb.3.D,67,C,9,,62,F,8
SEN,D,#1366434,Baseline,96,4,1,4,GSS2375_WellData_p4.txt,12,Baseline.96.SEN,Baseline.96.D,68,D,9,,13,E,2
Adult,G,#1528526,Control,8,4,1,4,GSS2375_WellData_p4.txt,12,Control.8.Adult,Control.8.G,69,E,9,,1,A,1
SEN,D,#1366434,Control,8,4,1,4,GSS2375_WellData_p4.txt,12,Control.8.SEN,Control.8.D,70,F,9,,69,E,9
HDFn,A,#1366434,TGFb,24,4,1,4,GSS2375_WellData_p4.txt,12,TGFb.24.HDFn,TGFb.24.A,71,G,9,,23,G,3
HDFn,A,#1366434,TGFb,1,4,1,4,GSS2375_WellData_p4.txt,12,TGFb.1.HDFn,TGFb.1.A,72,H,9,,67,C,9
Adult,G,#1528526,TGFb,12,5,1,5,GSS2375_WellData_p5.txt,13,TGFb.12.Adult,TGFb.12.G,1,A,1,,7,G,1
SEN,D,#1366434,Control,96,5,1,5,GSS2375_WellData_p5.txt,13,Control.96.SEN,Control.96.D,2,B,1,,44,D,6
SEN,D,#1366434,TGFb,0.5,5,1,5,GSS2375_WellData_p5.txt,13,TGFb.0.5.SEN,TGFb.0.5.D,3,C,1,,30,F,4
HDFn,A,#1366434,TGFb,2,5,1,5,GSS2375_WellData_p5.txt,13,TGFb.2.HDFn,TGFb.2.A,4,D,1,,60,D,8
HDFn,A,#1366434,Control,24,5,1,5,GSS2375_WellData_p5.txt,13,Control.24.HDFn,Control.24.A,5,E,1,,6,F,1
HDFn,A,#1366434,TGFb,96,5,1,5,GSS2375_WellData_p5.txt,13,TGFb.96.HDFn,TGFb.96.A,6,F,1,,67,C,9
Adult,G,#1528526,TGFb,3,5,1,5,GSS2375_WellData_p5.txt,13,TGFb.3.Adult,TGFb.3.G,7,G,1,,64,H,8
Adult,G,#1528526,Control,1,5,1,5,GSS2375_WellData_p5.txt,13,Control.1.Adult,Control.1.G,8,H,1,,27,C,4
HDFn,A,#1366434,Control,3,5,1,5,GSS2375_WellData_p5.txt,13,Control.3.HDFn,Control.3.A,9,A,2,,3,C,1
HDFn,A,#1366434,TGFb,24,5,1,5,GSS2375_WellData_p5.txt,13,TGFb.24.HDFn,TGFb.24.A,10,B,2,,53,E,7
HDFn,A,#1366434,Control,96,5,1,5,GSS2375_WellData_p5.txt,13,Control.96.HDFn,Control.96.A,11,C,2,,22,F,3
Adult,G,#1528526,TGFb,4,5,1,5,GSS2375_WellData_p5.txt,13,TGFb.4.Adult,TGFb.4.G,12,D,2,,16,H,2
Adult,G,#1528526,TGFb,0.5,5,1,5,GSS2375_WellData_p5.txt,13,TGFb.0.5.Adult,TGFb.0.5.G,13,E,2,,26,B,4
SEN,D,#1366434,Control,12,5,1,5,GSS2375_WellData_p5.txt,13,Control.12.SEN,Control.12.D,14,F,2,,35,C,5
SEN,D,#1366434,Control,48,5,1,5,GSS2375_WellData_p5.txt,13,Control.48.SEN,Control.48.D,15,G,2,,11,C,2
SEN,D,#1366434,TGFb,3,5,1,5,GSS2375_WellData_p5.txt,13,TGFb.3.SEN,TGFb.3.D,16,H,2,,36,D,5
HDFn,A,#1366434,TGFb,1,5,1,5,GSS2375_WellData_p5.txt,13,TGFb.1.HDFn,TGFb.1.A,17,A,3,,28,D,4
HDFn,A,#1366434,TGFb,4,5,1,5,GSS2375_WellData_p5.txt,13,TGFb.4.HDFn,TGFb.4.A,18,B,3,,34,B,5
HDFn,A,#1366434,TGFb,72,5,1,5,GSS2375_WellData_p5.txt,13,TGFb.72.HDFn,TGFb.72.A,19,C,3,,68,D,9
Adult,G,#1528526,Control,3,5,1,5,GSS2375_WellData_p5.txt,13,Control.3.Adult,Control.3.G,20,D,3,,57,A,8
HDFn,A,#1366434,Control,2,5,1,5,GSS2375_WellData_p5.txt,13,Control.2.HDFn,Control.2.A,21,E,3,,1,A,1
SEN,D,#1366434,TGFb,12,5,1,5,GSS2375_WellData_p5.txt,13,TGFb.12.SEN,TGFb.12.D,22,F,3,,72,H,9
Adult,G,#1528526,Control,72,5,1,5,GSS2375_WellData_p5.txt,13,Control.72.Adult,Control.72.G,23,G,3,,23,G,3
HDFn,A,#1366434,TGFb,0.5,5,1,5,GSS2375_WellData_p5.txt,13,TGFb.0.5.HDFn,TGFb.0.5.A,24,H,3,,41,A,6
SEN,D,#1366434,Control,2,5,1,5,GSS2375_WellData_p5.txt,13,Control.2.SEN,Control.2.D,25,A,4,,13,E,2
HDFn,A,#1366434,TGFb,48,5,1,5,GSS2375_WellData_p5.txt,13,TGFb.48.HDFn,TGFb.48.A,26,B,4,,14,F,2
SEN,D,#1366434,Control,0.5,5,1,5,GSS2375_WellData_p5.txt,13,Control.0.5.SEN,Control.0.5.D,27,C,4,,18,B,3
SEN,D,#1366434,Control,1,5,1,5,GSS2375_WellData_p5.txt,13,Control.1.SEN,Control.1.D,28,D,4,,38,F,5
Adult,G,#1528526,Control,96,5,1,5,GSS2375_WellData_p5.txt,13,Control.96.Adult,Control.96.G,29,E,4,,71,G,9
Adult,G,#1528526,TGFb,2,5,1,5,GSS2375_WellData_p5.txt,13,TGFb.2.Adult,TGFb.2.G,30,F,4,,47,G,6
Adult,G,#1528526,Control,4,5,1,5,GSS2375_WellData_p5.txt,13,Control.4.Adult,Control.4.G,31,G,4,,69,E,9
HDFn,A,#1366434,TGFb,3,5,1,5,GSS2375_WellData_p5.txt,13,TGFb.3.HDFn,TGFb.3.A,32,H,4,,62,F,8
Adult,G,#1528526,Control,8,5,1,5,GSS2375_WellData_p5.txt,13,Control.8.Adult,Control.8.G,33,A,5,,31,G,4
Adult,G,#1528526,TGFb,48,5,1,5,GSS2375_WellData_p5.txt,13,TGFb.48.Adult,TGFb.48.G,34,B,5,,56,H,7
Adult,G,#1528526,Control,2,5,1,5,GSS2375_WellData_p5.txt,13,Control.2.Adult,Control.2.G,35,C,5,,49,A,7
SEN,D,#1366434,Control,72,5,1,5,GSS2375_WellData_p5.txt,13,Control.72.SEN,Control.72.D,36,D,5,,25,A,4
SEN,D,#1366434,TGFb,2,5,1,5,GSS2375_WellData_p5.txt,13,TGFb.2.SEN,TGFb.2.D,37,E,5,,8,H,1
Adult,G,#1528526,TGFb,8,5,1,5,GSS2375_WellData_p5.txt,13,TGFb.8.Adult,TGFb.8.G,38,F,5,,70,F,9
Adult,G,#1528526,Baseline,96,5,1,5,GSS2375_WellData_p5.txt,13,Baseline.96.Adult,Baseline.96.G,39,G,5,,33,A,5
Adult,G,#1528526,Control,12,5,1,5,GSS2375_WellData_p5.txt,13,Control.12.Adult,Control.12.G,40,H,5,,48,H,6
HDFn,A,#1366434,Control,48,5,1,5,GSS2375_WellData_p5.txt,13,Control.48.HDFn,Control.48.A,41,A,6,,65,A,9
SEN,D,#1366434,TGFb,24,5,1,5,GSS2375_WellData_p5.txt,13,TGFb.24.SEN,TGFb.24.D,42,B,6,,19,C,3
Adult,G,#1528526,Control,0.5,5,1,5,GSS2375_WellData_p5.txt,13,Control.0.5.Adult,Control.0.5.G,43,C,6,,46,F,6
Adult,G,#1528526,TGFb,72,5,1,5,GSS2375_WellData_p5.txt,13,TGFb.72.Adult,TGFb.72.G,44,D,6,,66,B,9
Adult,G,#1528526,Control,48,5,1,5,GSS2375_WellData_p5.txt,13,Control.48.Adult,Control.48.G,45,E,6,,2,B,1
HDFn,A,#1366434,Control,4,5,1,5,GSS2375_WellData_p5.txt,13,Control.4.HDFn,Control.4.A,46,F,6,,45,E,6
SEN,D,#1366434,Baseline,96,5,1,5,GSS2375_WellData_p5.txt,13,Baseline.96.SEN,Baseline.96.D,47,G,6,,63,G,8
HDFn,A,#1366434,Baseline,0,5,1,5,GSS2375_WellData_p5.txt,13,Baseline.0.HDFn,Baseline.0.A,48,H,6,,51,C,7
Adult,G,#1528526,TGFb,24,5,1,5,GSS2375_WellData_p5.txt,13,TGFb.24.Adult,TGFb.24.G,49,A,7,,21,E,3
HDFn,A,#1366434,Control,1,5,1,5,GSS2375_WellData_p5.txt,13,Control.1.HDFn,Control.1.A,50,B,7,,29,E,4
Adult,G,#1528526,TGFb,96,5,1,5,GSS2375_WellData_p5.txt,13,TGFb.96.Adult,TGFb.96.G,51,C,7,,37,E,5
HDFn,A,#1366434,TGFb,8,5,1,5,GSS2375_WellData_p5.txt,13,TGFb.8.HDFn,TGFb.8.A,52,D,7,,24,H,3
HDFn,A,#1366434,Control,72,5,1,5,GSS2375_WellData_p5.txt,13,Control.72.HDFn,Control.72.A,53,E,7,,58,B,8
SEN,D,#1366434,TGFb,4,5,1,5,GSS2375_WellData_p5.txt,13,TGFb.4.SEN,TGFb.4.D,54,F,7,,10,B,2
SEN,D,#1366434,Baseline,0,5,1,5,GSS2375_WellData_p5.txt,13,Baseline.0.SEN,Baseline.0.D,55,G,7,,50,B,7
SEN,D,#1366434,TGFb,96,5,1,5,GSS2375_WellData_p5.txt,13,TGFb.96.SEN,TGFb.96.D,56,H,7,,54,F,7
HDFn,A,#1366434,TGFb,12,5,1,5,GSS2375_WellData_p5.txt,13,TGFb.12.HDFn,TGFb.12.A,57,A,8,,61,E,8
SEN,D,#1366434,TGFb,48,5,1,5,GSS2375_WellData_p5.txt,13,TGFb.48.SEN,TGFb.48.D,58,B,8,,9,A,2
SEN,D,#1366434,Control,8,5,1,5,GSS2375_WellData_p5.txt,13,Control.8.SEN,Control.8.D,59,C,8,,12,D,2
SEN,D,#1366434,Control,3,5,1,5,GSS2375_WellData_p5.txt,13,Control.3.SEN,Control.3.D,60,D,8,,59,C,8
SEN,D,#1366434,TGFb,72,5,1,5,GSS2375_WellData_p5.txt,13,TGFb.72.SEN,TGFb.72.D,61,E,8,,4,D,1
Adult,G,#1528526,Baseline,0,5,1,5,GSS2375_WellData_p5.txt,13,Baseline.0.Adult,Baseline.0.G,62,F,8,,5,E,1
SEN,D,#1366434,Control,24,5,1,5,GSS2375_WellData_p5.txt,13,Control.24.SEN,Control.24.D,63,G,8,,55,G,7
SEN,D,#1366434,Control,4,5,1,5,GSS2375_WellData_p5.txt,13,Control.4.SEN,Control.4.D,64,H,8,,42,B,6
HDFn,A,#1366434,Control,8,5,1,5,GSS2375_WellData_p5.txt,13,Control.8.HDFn,Control.8.A,65,A,9,,20,D,3
SEN,D,#1366434,TGFb,1,5,1,5,GSS2375_WellData_p5.txt,13,TGFb.1.SEN,TGFb.1.D,66,B,9,,39,G,5
HDFn,A,#1366434,Control,0.5,5,1,5,GSS2375_WellData_p5.txt,13,Control.0.5.HDFn,Control.0.5.A,67,C,9,,52,D,7
HDFn,A,#1366434,Baseline,96,5,1,5,GSS2375_WellData_p5.txt,13,Baseline.96.HDFn,Baseline.96.A,68,D,9,,17,A,3
Adult,G,#1528526,Control,24,5,1,5,GSS2375_WellData_p5.txt,13,Control.24.Adult,Control.24.G,69,E,9,,40,H,5
HDFn,A,#1366434,Control,12,5,1,5,GSS2375_WellData_p5.txt,13,Control.12.HDFn,Control.12.A,70,F,9,,32,H,4
SEN,D,#1366434,TGFb,8,5,1,5,GSS2375_WellData_p5.txt,13,TGFb.8.SEN,TGFb.8.D,71,G,9,,43,C,6
Adult,G,#1528526,TGFb,1,5,1,5,GSS2375_WellData_p5.txt,13,TGFb.1.Adult,TGFb.1.G,72,H,9,,15,G,2
Adult,G,#1528526,TGFb,4,6,1,6,GSS2375_WellData_p6.txt,18,TGFb.4.Adult,TGFb.4.G,1,A,1,,38,F,5
HDFn,A,#1366434,Baseline,0,6,1,6,GSS2375_WellData_p6.txt,18,Baseline.0.HDFn,Baseline.0.A,2,B,1,,66,B,9
Adult,G,#1528526,TGFb,0.5,6,1,6,GSS2375_WellData_p6.txt,18,TGFb.0.5.Adult,TGFb.0.5.G,3,C,1,,46,F,6
HDFn,A,#1366434,TGFb,48,6,1,6,GSS2375_WellData_p6.txt,18,TGFb.48.HDFn,TGFb.48.A,4,D,1,,43,C,6
SEN,D,#1366434,Baseline,96,6,1,6,GSS2375_WellData_p6.txt,18,Baseline.96.SEN,Baseline.96.D,5,E,1,,6,F,1
SEN,D,#1366434,Control,3,6,1,6,GSS2375_WellData_p6.txt,18,Control.3.SEN,Control.3.D,6,F,1,,53,E,7
Adult,G,#1528526,Control,8,6,1,6,GSS2375_WellData_p6.txt,18,Control.8.Adult,Control.8.G,7,G,1,,13,E,2
Adult,G,#1528526,Control,4,6,1,6,GSS2375_WellData_p6.txt,18,Control.4.Adult,Control.4.G,8,H,1,,63,G,8
HDFn,A,#1366434,TGFb,0.5,6,1,6,GSS2375_WellData_p6.txt,18,TGFb.0.5.HDFn,TGFb.0.5.A,9,A,2,,7,G,1
HDFn,A,#1366434,TGFb,1,6,1,6,GSS2375_WellData_p6.txt,18,TGFb.1.HDFn,TGFb.1.A,10,B,2,,39,G,5
SEN,D,#1366434,Control,72,6,1,6,GSS2375_WellData_p6.txt,18,Control.72.SEN,Control.72.D,11,C,2,,20,D,3
HDFn,A,#1366434,TGFb,3,6,1,6,GSS2375_WellData_p6.txt,18,TGFb.3.HDFn,TGFb.3.A,12,D,2,,31,G,4
Adult,G,#1528526,TGFb,48,6,1,6,GSS2375_WellData_p6.txt,18,TGFb.48.Adult,TGFb.48.G,13,E,2,,60,D,8
HDFn,A,#1366434,TGFb,12,6,1,6,GSS2375_WellData_p6.txt,18,TGFb.12.HDFn,TGFb.12.A,14,F,2,,14,F,2
SEN,D,#1366434,TGFb,96,6,1,6,GSS2375_WellData_p6.txt,18,TGFb.96.SEN,TGFb.96.D,15,G,2,,71,G,9
